id,name,description,industry,location,founded_year,employee_count,revenue_range
27693,Gray-Cantu,real-time engine for health data.,Healthcare,Germany,2009,2125,50M-100M
27694,Thomas-Tanner,data-driven infrastructure for patient monitoring.,Healthcare,Norway,2008,186,10M-50M
27695,"Ross, Myers and Mitchell",data-driven platform for supply chain visibility.,Logistics,UK,2021,3503,50M-100M
27696,Gonzales Group,AI-powered platform for drug discovery.,Biotech,UK,2013,692,100M-500M
27697,Wilson PLC,cloud-native system for observability.,Technology,Sweden,2002,4053,500M+
27698,Parker Ltd,data-driven system for banking analytics.,Fintech,Netherlands,1998,3513,50M-100M
27699,Jones and Sons,cloud-native platform for network optimization.,Telecom,Netherlands,2010,3390,50M-100M
27700,"Smith, Navarro and Dudley",distributed system for gene editing.,Biotech,Finland,2011,1038,50M-100M
27701,"Davis, Kennedy and Hess",AI-powered solution for molecular analysis.,Biotech,France,2009,4873,500M+
27702,Clark-Lyons,predictive system for personalized learning.,Education,Norway,2010,3475,500M+
27703,"Perez, Gonzalez and Morris",automated system for supply chain visibility.,Logistics,Sweden,2003,1824,50M-100M
27704,Phillips Group,AI-powered infrastructure for autonomous driving.,Automotive,UK,2024,4040,100M-500M
27705,"Peterson, Beltran and Lane",data-driven infrastructure for demand forecasting.,Retail,Netherlands,2005,2930,50M-100M
27706,Holt PLC,AI-powered engine for diagnostics.,Healthcare,Netherlands,2006,2360,100M-500M
27707,"Davis, Harris and Weeks",data-driven solution for demand forecasting.,Retail,Sweden,2013,2356,500M+
27708,Pacheco LLC,real-time system for patient monitoring.,Healthcare,Sweden,2009,277,50M-100M
27709,White-Nelson,automated platform for fraud detection.,Fintech,France,2001,2088,100M-500M
27710,Lopez Ltd,cloud-native software for vehicle telemetry.,Automotive,Germany,2023,847,50M-100M
27711,Weiss-West,cloud-native system for payments.,Fintech,France,2019,534,100M-500M
27712,Rivera and Sons,AI-powered platform for patient monitoring.,Healthcare,Germany,2018,3704,100M-500M
27713,"Osborn, Graves and Frazier",automated solution for pricing optimization.,Retail,Sweden,2003,4374,100M-500M
27714,"Mcintosh, Carpenter and Schroeder",cloud-native software for gene editing.,Biotech,UK,2009,3909,500M+
27715,"Garcia, Arellano and Harper",real-time platform for data pipelines.,Technology,Finland,2012,4528,50M-100M
27716,Stanley and Sons,machine learning engine for drug discovery.,Biotech,Netherlands,2000,4119,50M-100M
27717,Hoffman Group,distributed system for autonomous driving.,Automotive,Germany,2001,4960,100M-500M
27718,"Diaz, Bauer and Martin",automated solution for patient monitoring.,Healthcare,Netherlands,1997,3264,100M-500M
27719,"Cox, Ruiz and Campbell",cloud-native system for diagnostics.,Healthcare,Germany,2021,4262,100M-500M
27720,Adams LLC,cloud-native solution for route optimization.,Logistics,Sweden,2018,1139,100M-500M
27721,"Kramer, Jackson and Lee",data-driven platform for vehicle telemetry.,Automotive,Sweden,2008,1328,50M-100M
27722,Butler-Cook,machine learning infrastructure for data pipelines.,Technology,Finland,2019,875,50M-100M
27723,"Chung, Stanley and Davis",AI-powered infrastructure for observability.,Technology,USA,2021,829,500M+
27724,"Edwards, Walker and Jenkins",AI-powered engine for cloud infrastructure.,Technology,France,2003,4559,100M-500M
27725,Henry Group,predictive system for gene editing.,Biotech,UK,2002,732,100M-500M
27726,Allen-White,AI-powered engine for route optimization.,Logistics,UK,2014,1954,50M-100M
27727,Bass-Saunders,machine learning engine for diagnostics.,Healthcare,UK,1995,100,50M-100M
27728,Humphrey and Sons,AI-powered software for gene editing.,Biotech,Finland,2000,3510,100M-500M
27729,"Gray, Cooper and Benitez",AI-powered system for renewable energy.,Energy,Netherlands,2021,3603,100M-500M
27730,Cohen-Lamb,data-driven infrastructure for patient monitoring.,Healthcare,Germany,2001,208,50M-100M
27731,Lee Inc,machine learning solution for health data.,Healthcare,USA,2012,3705,50M-100M
27732,Briggs-Moody,predictive engine for student analytics.,Education,Norway,1996,2504,500M+
27733,"Mcmillan, Ray and Thomas",machine learning solution for network optimization.,Telecom,USA,2011,1622,500M+
27734,"Brown, Mata and Delacruz",AI-powered infrastructure for fraud detection.,Fintech,France,1998,1401,500M+
27735,Brown-Hogan,automated software for data pipelines.,Technology,UK,2000,3249,500M+
27736,"Diaz, Douglas and Smith",real-time infrastructure for route optimization.,Logistics,France,2024,4357,100M-500M
27737,Morris Group,predictive infrastructure for pricing optimization.,Retail,Finland,1997,1763,50M-100M
27738,Dean LLC,cloud-native solution for health data.,Healthcare,France,2019,3761,500M+
27739,"Davis, Cardenas and Riddle",data-driven software for vehicle telemetry.,Automotive,Germany,1999,648,100M-500M
27740,"King, Grant and Williams",predictive software for energy forecasting.,Energy,USA,2007,2734,500M+
27741,Fernandez Inc,distributed solution for energy forecasting.,Energy,France,2007,4725,50M-100M
27742,"Henderson, Park and Miller",distributed solution for 5G analytics.,Telecom,Sweden,2016,3040,100M-500M
27743,"Wilson, Jones and Hays",distributed solution for pricing optimization.,Retail,Sweden,2007,4935,100M-500M
27744,Brown-Price,distributed system for cloud infrastructure.,Technology,Germany,2018,246,50M-100M
27745,Wright-Lowery,data-driven engine for payments.,Fintech,UK,2018,3110,50M-100M
27746,Carter Inc,real-time system for smart grid.,Energy,France,2005,1148,50M-100M
27747,Kelley-Mclean,data-driven system for observability.,Technology,USA,2002,4971,50M-100M
27748,Robinson-Morales,distributed software for network optimization.,Telecom,Finland,2011,4892,500M+
27749,Durham Inc,real-time platform for supply chain visibility.,Logistics,Norway,2001,2533,500M+
27750,"Coleman, Paul and Gonzalez",data-driven software for autonomous driving.,Automotive,Finland,2015,4851,50M-100M
27751,Ward and Sons,real-time engine for energy forecasting.,Energy,Norway,2007,4402,50M-100M
27752,Hancock-Robbins,distributed software for 5G analytics.,Telecom,Sweden,2024,1505,500M+
27753,Gibbs-Huynh,real-time platform for observability.,Technology,UK,2009,3853,500M+
27754,Chambers Inc,distributed platform for network optimization.,Telecom,Finland,2011,1799,500M+
27755,Hahn-Humphrey,real-time software for smart grid.,Energy,France,2021,4366,500M+
27756,"Holmes, Hall and Mitchell",real-time system for drug discovery.,Biotech,Germany,2005,1138,500M+
27757,Oconnell-Jones,predictive engine for health data.,Healthcare,Sweden,2023,3256,500M+
27758,Mitchell-Hanson,predictive engine for patient monitoring.,Healthcare,Norway,2008,1125,50M-100M
27759,Perez-Velez,machine learning platform for autonomous driving.,Automotive,Norway,2006,3543,50M-100M
27760,Murray-Mills,automated platform for molecular analysis.,Biotech,Finland,1998,2907,500M+
27761,"Hayes, Jenkins and Campbell",automated infrastructure for data pipelines.,Technology,Finland,2007,2133,50M-100M
27762,Davis and Sons,real-time software for personalized learning.,Education,Norway,2010,2295,500M+
27763,Hill-Craig,data-driven solution for renewable energy.,Energy,USA,2022,1898,500M+
27764,Smith-Johnson,data-driven platform for student analytics.,Education,Germany,2016,1464,500M+
27765,Williamson-Becker,automated software for route optimization.,Logistics,Norway,2022,4261,500M+
27766,Jackson-Campbell,automated infrastructure for personalized learning.,Education,Finland,2004,584,500M+
27767,Gaines-Jones,machine learning infrastructure for supply chain visibility.,Logistics,Germany,1998,1756,500M+
27768,"Robbins, Simon and Rowe",cloud-native solution for molecular analysis.,Biotech,UK,2023,1177,100M-500M
27769,Edwards Group,distributed system for banking analytics.,Fintech,France,1997,1135,50M-100M
27770,"Glover, Lopez and Lewis",AI-powered solution for banking analytics.,Fintech,Netherlands,2009,4170,100M-500M
27771,"Allen, Smith and Trujillo",distributed platform for 5G analytics.,Telecom,Finland,2002,1424,50M-100M
27772,Tate Group,AI-powered engine for data pipelines.,Technology,Sweden,2001,4111,100M-500M
27773,Sharp-Becker,machine learning engine for route optimization.,Logistics,Sweden,1997,4383,500M+
27774,Santiago and Sons,real-time solution for pricing optimization.,Retail,Sweden,2021,431,100M-500M
27775,Rice-Scott,predictive solution for demand forecasting.,Retail,Norway,1999,3332,500M+
27776,"Hughes, Burns and Harrison",machine learning infrastructure for lending.,Fintech,Norway,2003,2367,500M+
27777,Bradley-Sanchez,machine learning platform for observability.,Technology,France,1996,3396,500M+
27778,Parker-Arnold,machine learning software for route optimization.,Logistics,Sweden,2019,2446,50M-100M
27779,Meyer-Morrow,real-time solution for autonomous driving.,Automotive,Netherlands,1996,394,100M-500M
27780,"Becker, Olson and Avila",machine learning infrastructure for personalized learning.,Education,USA,2014,4755,500M+
27781,Hunter and Sons,cloud-native engine for cloud infrastructure.,Technology,UK,2020,4665,100M-500M
27782,"Adams, Richardson and Hurst",data-driven engine for gene editing.,Biotech,France,2015,1488,100M-500M
27783,Pennington-Johnson,cloud-native infrastructure for student analytics.,Education,Finland,2005,3792,500M+
27784,Nelson Inc,cloud-native infrastructure for autonomous driving.,Automotive,Netherlands,2014,2973,500M+
27785,Huang Group,distributed solution for demand forecasting.,Retail,Germany,2004,885,500M+
27786,"Brandt, Martin and Burke",data-driven engine for vehicle telemetry.,Automotive,UK,1998,1106,500M+
27787,Wang-Miller,data-driven software for personalized learning.,Education,Sweden,2022,4159,50M-100M
27788,Turner-Smith,distributed engine for patient monitoring.,Healthcare,Sweden,2014,1918,100M-500M
27789,Adams-Willis,real-time software for gene editing.,Biotech,USA,2003,4035,500M+
27790,"Lyons, Wilson and Robinson",distributed software for route optimization.,Logistics,Finland,2024,2937,500M+
27791,"Lopez, Hansen and Norris",distributed infrastructure for route optimization.,Logistics,France,2021,2507,100M-500M
27792,"Mccullough, Morse and Martin",predictive system for lending.,Fintech,Norway,2020,1618,500M+
27793,Lloyd Ltd,data-driven engine for diagnostics.,Healthcare,Finland,2001,1529,500M+
27794,"Gonzales, Sexton and Parker",real-time infrastructure for patient monitoring.,Healthcare,USA,1995,2039,500M+
27795,"Castillo, Mathis and Woodward",real-time platform for renewable energy.,Energy,USA,2019,3775,50M-100M
27796,Anderson Group,automated software for 5G analytics.,Telecom,Germany,2017,3482,50M-100M
27797,"Pham, Mcdaniel and Francis",cloud-native system for energy forecasting.,Energy,Sweden,1998,2814,50M-100M
27798,Ramirez Group,data-driven engine for student analytics.,Education,Germany,2019,3980,100M-500M
27799,"Peterson, Martin and Reed",AI-powered solution for autonomous driving.,Automotive,France,1995,1907,500M+
27800,"Hunt, Melton and Moran",predictive infrastructure for network optimization.,Telecom,Finland,2002,48,0-1M
27801,Lee-Roberson,AI-powered solution for payments.,Fintech,UK,2012,4777,50M-100M
27802,Odonnell Inc,machine learning engine for supply chain visibility.,Logistics,Germany,2000,709,500M+
27803,Spence-Caldwell,distributed system for inventory planning.,Retail,UK,1997,3101,100M-500M
27804,Ramos LLC,machine learning solution for route optimization.,Logistics,Finland,2001,4978,100M-500M
27805,Cross-Smith,predictive infrastructure for gene editing.,Biotech,UK,2021,4433,50M-100M
27806,Morrow-Schneider,real-time software for smart grid.,Energy,Finland,2024,3374,500M+
27807,"Nelson, Moore and Bennett",distributed platform for personalized learning.,Education,France,2008,519,50M-100M
27808,Hawkins PLC,cloud-native solution for banking analytics.,Fintech,Sweden,2024,1839,100M-500M
27809,Bradley-Williams,data-driven engine for fraud detection.,Fintech,USA,2020,3101,100M-500M
27810,"Fitzpatrick, Thomas and Rowe",cloud-native platform for vehicle telemetry.,Automotive,UK,2010,4994,500M+
27811,Perry-Harper,automated engine for student analytics.,Education,Finland,2010,4320,500M+
27812,Perry Ltd,distributed solution for student analytics.,Education,Finland,2013,298,100M-500M
27813,Vazquez-Stephens,AI-powered engine for gene editing.,Biotech,Germany,2017,2367,100M-500M
27814,"Adams, Orozco and Kirby",automated engine for observability.,Technology,USA,2020,4738,500M+
27815,Jackson LLC,AI-powered solution for inventory planning.,Retail,USA,2019,149,50M-100M
27816,Nunez-Garcia,cloud-native software for cloud infrastructure.,Technology,Germany,1996,312,50M-100M
27817,"Howard, Ortiz and Sanders",predictive platform for diagnostics.,Healthcare,Sweden,2007,2551,50M-100M
27818,Harris Group,automated engine for autonomous driving.,Automotive,Netherlands,1998,4210,50M-100M
27819,Lin-Wise,AI-powered solution for autonomous driving.,Automotive,Norway,2014,1835,500M+
27820,"Baxter, Morris and Mitchell",real-time software for lending.,Fintech,France,2022,2035,50M-100M
27821,Garner-Kelly,data-driven engine for network optimization.,Telecom,UK,2007,3028,100M-500M
27822,Black-Taylor,data-driven infrastructure for observability.,Technology,Germany,2017,3703,500M+
27823,York-Green,AI-powered solution for demand forecasting.,Retail,Netherlands,2003,2460,100M-500M
27824,Lambert-Washington,cloud-native engine for energy forecasting.,Energy,Finland,2009,548,100M-500M
27825,Beard PLC,real-time solution for health data.,Healthcare,Netherlands,2013,3090,100M-500M
27826,Curtis-Miller,distributed platform for fraud detection.,Fintech,Finland,2007,2968,100M-500M
27827,"Lambert, Cooke and Williams",machine learning engine for fraud detection.,Fintech,Norway,2002,1508,50M-100M
27828,Aguirre LLC,predictive infrastructure for banking analytics.,Fintech,Sweden,1996,4821,500M+
27829,"Ramirez, Jordan and Mcmillan",AI-powered system for energy forecasting.,Energy,France,2013,197,10M-50M
27830,"Steele, Walker and Powell",distributed solution for supply chain visibility.,Logistics,Germany,2023,3702,50M-100M
27831,"Coleman, Jones and Butler",real-time infrastructure for molecular analysis.,Biotech,Norway,2002,917,50M-100M
27832,Stewart Group,data-driven system for network optimization.,Telecom,Norway,2009,4201,500M+
27833,Collins and Sons,data-driven engine for student analytics.,Education,Sweden,1996,4424,500M+
27834,"White, Mcconnell and Haney",real-time solution for 5G analytics.,Telecom,Germany,1998,4505,500M+
27835,Bradshaw-Wilson,data-driven engine for demand forecasting.,Retail,Norway,2000,3084,500M+
27836,"Moreno, Brandt and Mack",automated software for supply chain visibility.,Logistics,USA,2014,555,100M-500M
27837,King and Sons,machine learning system for network optimization.,Telecom,Finland,2009,4165,100M-500M
27838,Harvey Inc,machine learning system for personalized learning.,Education,France,2014,4856,50M-100M
27839,"Thompson, Villegas and Dixon",automated solution for fraud detection.,Fintech,USA,2020,867,100M-500M
27840,"Robinson, Morrison and Anderson",real-time system for student analytics.,Education,Sweden,2019,3534,100M-500M
27841,"Hanson, Stevens and Garcia",automated platform for data pipelines.,Technology,France,2013,4022,500M+
27842,Hines and Sons,AI-powered solution for vehicle telemetry.,Automotive,Germany,2015,1038,500M+
27843,"Daniels, Burns and Hernandez",AI-powered infrastructure for observability.,Technology,Norway,2001,2913,100M-500M
27844,"Williams, Benson and Johnson",machine learning system for gene editing.,Biotech,Sweden,2008,3534,100M-500M
27845,Evans and Sons,automated infrastructure for gene editing.,Biotech,France,1996,2087,500M+
27846,Scott LLC,data-driven software for route optimization.,Logistics,Germany,2000,4315,500M+
27847,Barker LLC,AI-powered engine for cloud infrastructure.,Technology,France,2003,740,500M+
27848,"Miller, Wright and Patel",machine learning software for data pipelines.,Technology,France,2015,980,100M-500M
27849,"Small, Benton and May",predictive solution for lending.,Fintech,USA,2001,4459,500M+
27850,Hall Group,AI-powered solution for vehicle telemetry.,Automotive,France,2015,4635,50M-100M
27851,"Cherry, Maldonado and May",predictive system for banking analytics.,Fintech,USA,2004,4323,100M-500M
27852,Case Ltd,automated platform for fraud detection.,Fintech,France,1995,3154,500M+
27853,Nolan LLC,automated engine for lending.,Fintech,Germany,2010,2218,50M-100M
27854,Case Ltd,machine learning system for patient monitoring.,Healthcare,Germany,2007,2311,500M+
27855,Friedman-Koch,real-time platform for lending.,Fintech,USA,2003,3357,50M-100M
27856,Castro-Cooper,data-driven system for gene editing.,Biotech,Netherlands,2001,4271,100M-500M
27857,Rodriguez and Sons,predictive system for demand forecasting.,Retail,Netherlands,2022,2612,100M-500M
27858,Walton Inc,automated platform for route optimization.,Logistics,USA,2005,2796,100M-500M
27859,Barnett LLC,real-time engine for student analytics.,Education,Norway,2019,1948,100M-500M
27860,Cole Inc,predictive infrastructure for lending.,Fintech,Norway,2012,2362,50M-100M
27861,Mcmahon-Jordan,distributed solution for observability.,Technology,France,2005,4082,500M+
27862,Wright-Mclean,predictive engine for data pipelines.,Technology,Netherlands,2019,1739,100M-500M
27863,Knight-Zamora,data-driven platform for demand forecasting.,Retail,Germany,1997,2741,50M-100M
27864,Palmer-Flores,distributed solution for 5G analytics.,Telecom,Germany,2004,3847,50M-100M
27865,"Allen, Nguyen and Cooper",AI-powered engine for inventory planning.,Retail,France,1996,2694,100M-500M
27866,"English, Ryan and West",predictive software for student analytics.,Education,France,2006,4652,100M-500M
27867,"Blair, Richards and Sanchez",real-time engine for fraud detection.,Fintech,France,2023,1709,500M+
27868,Boyd Group,distributed infrastructure for inventory planning.,Retail,Finland,2002,4082,500M+
27869,Trevino-Jackson,AI-powered platform for autonomous driving.,Automotive,Norway,2006,2733,50M-100M
27870,Bates-Green,predictive infrastructure for 5G analytics.,Telecom,Sweden,2014,4660,100M-500M
27871,Duffy LLC,cloud-native engine for lending.,Fintech,France,2017,4683,100M-500M
27872,Davis-Khan,data-driven solution for pricing optimization.,Retail,Netherlands,2000,4380,100M-500M
27873,Mcpherson-Clark,machine learning infrastructure for pricing optimization.,Retail,Finland,2014,4123,500M+
27874,"Mckay, Manning and Horton",machine learning system for vehicle telemetry.,Automotive,Germany,2006,1232,500M+
27875,Castaneda-Owens,distributed platform for supply chain visibility.,Logistics,UK,1997,1782,50M-100M
27876,Gutierrez and Sons,distributed solution for inventory planning.,Retail,Germany,1997,2783,100M-500M
27877,Walton and Sons,cloud-native engine for network optimization.,Telecom,Finland,2004,2671,100M-500M
27878,Perez-Rogers,distributed infrastructure for network optimization.,Telecom,Sweden,1999,1817,500M+
27879,"Brown, Alexander and Steele",cloud-native engine for demand forecasting.,Retail,USA,2021,4302,100M-500M
27880,Hernandez Group,machine learning platform for network optimization.,Telecom,Germany,2011,1372,50M-100M
27881,Ortiz-Singleton,data-driven engine for vehicle telemetry.,Automotive,Germany,2002,4173,50M-100M
27882,"Mueller, Gillespie and Harrison",real-time engine for observability.,Technology,Sweden,2020,145,50M-100M
27883,"Webb, Lopez and Jones",real-time software for data pipelines.,Technology,USA,2016,4016,500M+
27884,Velez-Green,predictive software for pricing optimization.,Retail,Netherlands,2020,2754,50M-100M
27885,Jefferson-Cameron,real-time software for data pipelines.,Technology,Germany,2023,1137,50M-100M
27886,Banks Ltd,data-driven software for banking analytics.,Fintech,USA,2020,391,50M-100M
27887,"Walters, Taylor and Owen",data-driven engine for drug discovery.,Biotech,USA,2004,680,100M-500M
27888,"Griffin, Lawson and Walker",distributed system for student analytics.,Education,UK,2023,3449,500M+
27889,"Adams, Cook and Neal",data-driven infrastructure for health data.,Healthcare,Norway,2005,610,500M+
27890,Campbell-Miller,distributed infrastructure for student analytics.,Education,France,2023,4008,500M+
27891,Arroyo Group,cloud-native platform for route optimization.,Logistics,France,2013,3295,500M+
27892,"Gonzalez, Hughes and Horn",AI-powered system for vehicle telemetry.,Automotive,UK,2004,4702,50M-100M
27893,Ibarra-Becker,cloud-native solution for inventory planning.,Retail,Germany,2002,1481,500M+
27894,"Patterson, Kemp and Fitzgerald",AI-powered engine for personalized learning.,Education,France,2012,1573,50M-100M
27895,Andrews-Cortez,automated solution for data pipelines.,Technology,Germany,2004,2270,100M-500M
27896,Deleon Group,machine learning software for health data.,Healthcare,UK,2011,121,10M-50M
27897,Marquez PLC,predictive solution for smart grid.,Energy,Norway,1995,2486,500M+
27898,Morris and Sons,AI-powered software for cloud infrastructure.,Technology,France,2019,1784,500M+
27899,"Oliver, Cameron and Smith",cloud-native platform for autonomous driving.,Automotive,Norway,1999,2154,100M-500M
27900,Walker-Gray,data-driven software for gene editing.,Biotech,France,2023,3816,50M-100M
27901,"Wallace, Knapp and Adams",predictive software for data pipelines.,Technology,Sweden,2014,292,50M-100M
27902,Garrison-Thomas,data-driven system for inventory planning.,Retail,Sweden,2017,3880,500M+
27903,King Ltd,automated solution for personalized learning.,Education,Germany,2022,3703,500M+
27904,Kirk-Graham,data-driven infrastructure for gene editing.,Biotech,Finland,2007,3105,50M-100M
27905,Smith-Golden,AI-powered solution for lending.,Fintech,France,2024,1336,50M-100M
27906,King-Crane,AI-powered solution for personalized learning.,Education,Norway,2021,4452,500M+
27907,Reyes-Owens,real-time infrastructure for molecular analysis.,Biotech,UK,2011,3936,50M-100M
27908,"Kirk, Page and Russell",predictive solution for gene editing.,Biotech,Netherlands,2016,3420,50M-100M
27909,"Smith, Harris and Garcia",real-time platform for energy forecasting.,Energy,Germany,2003,2359,500M+
27910,Richardson-Barker,predictive engine for molecular analysis.,Biotech,UK,2010,4424,100M-500M
27911,"Williams, Chavez and Wallace",predictive software for observability.,Technology,UK,2021,3330,500M+
27912,"Bell, Allen and Rodriguez",predictive engine for energy forecasting.,Energy,Netherlands,1996,1332,50M-100M
27913,"Vega, Davis and Chapman",machine learning solution for smart grid.,Energy,USA,2009,851,500M+
27914,"Ward, Rogers and Lane",predictive infrastructure for patient monitoring.,Healthcare,France,2018,1394,50M-100M
27915,Warren-Jensen,predictive software for patient monitoring.,Healthcare,France,1998,2726,50M-100M
27916,Chapman PLC,predictive solution for cloud infrastructure.,Technology,UK,2005,2709,500M+
27917,"Terry, Brennan and Mayo",automated platform for supply chain visibility.,Logistics,USA,1995,181,10M-50M
27918,"Wilson, Harris and Howard",AI-powered infrastructure for network optimization.,Telecom,France,2007,1007,100M-500M
27919,Hall-Brown,AI-powered engine for pricing optimization.,Retail,Sweden,2016,2020,50M-100M
27920,Khan-Nunez,automated engine for smart grid.,Energy,UK,2005,4778,500M+
27921,Mckenzie-Keller,data-driven platform for smart grid.,Energy,France,2004,1791,50M-100M
27922,Duffy-Barajas,distributed platform for personalized learning.,Education,Finland,2000,1044,500M+
27923,"Tran, French and Hunt",automated solution for personalized learning.,Education,France,2011,2267,100M-500M
27924,Benitez Group,AI-powered infrastructure for molecular analysis.,Biotech,France,2011,3624,100M-500M
27925,"Wagner, Harper and Woods",automated solution for personalized learning.,Education,USA,2020,613,100M-500M
27926,"Hernandez, Kelley and Mata",data-driven software for pricing optimization.,Retail,Sweden,2002,2848,100M-500M
27927,Wang-Reynolds,predictive platform for 5G analytics.,Telecom,Norway,2007,3056,50M-100M
27928,Garcia-Jones,distributed platform for data pipelines.,Technology,Sweden,2004,4154,100M-500M
27929,"Gonzalez, Haas and Kelly",AI-powered system for autonomous driving.,Automotive,France,2001,848,50M-100M
27930,Shah PLC,AI-powered platform for inventory planning.,Retail,USA,2004,2477,50M-100M
27931,"Murphy, Morris and Brown",predictive solution for cloud infrastructure.,Technology,Finland,2022,3579,50M-100M
27932,Moon PLC,automated infrastructure for inventory planning.,Retail,Norway,2014,1270,500M+
27933,Lee-Fox,automated engine for student analytics.,Education,Norway,2023,3169,100M-500M
27934,Armstrong Ltd,AI-powered system for personalized learning.,Education,USA,2009,3482,500M+
27935,"Powell, Gonzalez and Jones",predictive infrastructure for payments.,Fintech,France,2005,2458,500M+
27936,Price-Church,real-time platform for vehicle telemetry.,Automotive,USA,2000,3458,50M-100M
27937,"Walker, Chavez and Lloyd",automated solution for renewable energy.,Energy,Sweden,2021,4432,500M+
27938,Williams-Johnson,distributed software for network optimization.,Telecom,Netherlands,2020,1876,500M+
27939,Stone Inc,distributed system for pricing optimization.,Retail,Netherlands,2023,4023,500M+
27940,Davis-Harper,predictive platform for student analytics.,Education,USA,1995,3462,100M-500M
27941,"Hodges, Wells and Smith",machine learning platform for 5G analytics.,Telecom,France,2017,808,50M-100M
27942,"White, Evans and Ramirez",machine learning engine for energy forecasting.,Energy,Germany,2004,4825,500M+
27943,Maynard PLC,cloud-native infrastructure for 5G analytics.,Telecom,Sweden,1999,4407,100M-500M
27944,"Moore, Ramirez and Jackson",distributed software for autonomous driving.,Automotive,Netherlands,2003,1084,50M-100M
27945,Kidd Group,automated infrastructure for vehicle telemetry.,Automotive,Netherlands,2008,3363,100M-500M
27946,Bailey LLC,automated solution for personalized learning.,Education,Germany,2020,119,50M-100M
27947,"Wilson, Davis and Mercado",predictive platform for 5G analytics.,Telecom,Norway,1995,1128,500M+
27948,Davila LLC,real-time solution for network optimization.,Telecom,Netherlands,2016,4814,500M+
27949,Grant-Riley,machine learning platform for route optimization.,Logistics,Norway,2001,2197,50M-100M
27950,Williamson-Alexander,distributed solution for cloud infrastructure.,Technology,Sweden,2004,1982,100M-500M
27951,Davis Group,distributed software for student analytics.,Education,Germany,2002,1347,50M-100M
27952,"Valentine, Pacheco and Johnson",real-time platform for pricing optimization.,Retail,Finland,2010,1918,500M+
27953,Pollard PLC,automated system for payments.,Fintech,Norway,2019,2222,50M-100M
27954,Daniels-Ballard,distributed solution for route optimization.,Logistics,UK,2006,99,10M-50M
27955,Walters Ltd,automated platform for demand forecasting.,Retail,France,2023,3276,500M+
27956,Costa Ltd,distributed software for route optimization.,Logistics,Sweden,2015,3751,100M-500M
27957,"Daniels, Cunningham and Sharp",distributed engine for network optimization.,Telecom,Norway,2012,1136,50M-100M
27958,Deleon-Thomas,distributed system for demand forecasting.,Retail,Germany,2013,2348,500M+
27959,Hayden-Garcia,cloud-native system for data pipelines.,Technology,Germany,2001,1757,500M+
27960,"Leonard, Huerta and Smith",distributed platform for pricing optimization.,Retail,USA,2021,2921,100M-500M
27961,Mitchell PLC,real-time infrastructure for supply chain visibility.,Logistics,Norway,2016,4484,100M-500M
27962,Jimenez Group,machine learning infrastructure for banking analytics.,Fintech,USA,2009,3699,500M+
27963,Carr Inc,data-driven platform for cloud infrastructure.,Technology,Sweden,2016,809,500M+
27964,Short-Evans,data-driven engine for fraud detection.,Fintech,USA,2005,4427,100M-500M
27965,Fowler and Sons,distributed solution for lending.,Fintech,Sweden,2007,1000,500M+
27966,Lawson Inc,data-driven platform for lending.,Fintech,Sweden,2000,1138,50M-100M
27967,"Johnson, Thompson and Greene",data-driven engine for payments.,Fintech,Germany,2024,2553,100M-500M
27968,"Marsh, Callahan and Perez",cloud-native infrastructure for 5G analytics.,Telecom,Norway,2014,3716,500M+
27969,Green Inc,data-driven engine for payments.,Fintech,Germany,2012,1251,500M+
27970,"Barry, Berger and Gentry",data-driven solution for student analytics.,Education,Sweden,2004,18,0-1M
27971,Hall-Wilson,predictive engine for supply chain visibility.,Logistics,Finland,2012,783,50M-100M
27972,Hess-Crawford,real-time infrastructure for network optimization.,Telecom,USA,2016,3412,50M-100M
27973,Williams PLC,cloud-native engine for fraud detection.,Fintech,UK,2018,3817,100M-500M
27974,Sullivan Group,machine learning engine for health data.,Healthcare,Finland,2023,3116,500M+
27975,Callahan Ltd,automated solution for student analytics.,Education,France,1996,2587,100M-500M
27976,Edwards Ltd,AI-powered platform for pricing optimization.,Retail,Netherlands,2008,1787,100M-500M
27977,Lewis-Williams,automated system for smart grid.,Energy,Finland,2007,526,50M-100M
27978,"Barnes, Gamble and Owens",data-driven solution for cloud infrastructure.,Technology,UK,2019,2515,100M-500M
27979,Sanchez-Lara,predictive software for smart grid.,Energy,France,2002,4336,500M+
27980,"Johnston, Cooper and Moore",automated system for network optimization.,Telecom,Finland,2000,588,500M+
27981,"Barker, Barber and Anderson",predictive engine for personalized learning.,Education,Sweden,2008,3825,50M-100M
27982,Lawson and Sons,automated engine for cloud infrastructure.,Technology,Finland,2000,1169,50M-100M
27983,Jones-Price,machine learning platform for network optimization.,Telecom,Finland,2016,481,50M-100M
27984,Adams-Romero,distributed infrastructure for smart grid.,Energy,France,2015,1017,100M-500M
27985,Martinez-Holland,predictive platform for diagnostics.,Healthcare,Netherlands,1999,4532,100M-500M
27986,Perez-Newman,real-time software for student analytics.,Education,France,2022,4134,100M-500M
27987,"Barnes, Hall and Garrett",machine learning infrastructure for banking analytics.,Fintech,Netherlands,2000,2473,500M+
27988,"Butler, Harris and Murphy",cloud-native infrastructure for gene editing.,Biotech,Finland,2011,1456,500M+
27989,"Price, Martin and Arias",predictive infrastructure for network optimization.,Telecom,Sweden,2012,2381,50M-100M
27990,Shannon Ltd,automated software for energy forecasting.,Energy,Netherlands,2000,2864,500M+
